,2015,SSP1,SSP3,SSP5,lat1,long1,lat2,long2,lat3,long3,lat4,long4,lat5,long5
10512,31688.421875,2.3296967691768335,-0.12811510907720142,2.675630985094615,-107.0,60.0,-108.0,60.0,-108.0,61.0,-107.0,61.0,-107.0,60.0
10513,83769.7734375,1.3022951390860982,-0.9479758090697057,2.8391058044038298,-106.0,60.0,-107.0,60.0,-107.0,61.0,-106.0,61.0,-106.0,60.0
10514,54714.484375,1.2614846902685446,-1.4617501592785502,3.620013781771109,-105.0,60.0,-106.0,60.0,-106.0,61.0,-105.0,61.0,-105.0,60.0
10515,127778.2421875,1.662584989925478,-1.2728778465377182,4.735138360740333,-104.0,60.0,-105.0,60.0,-105.0,61.0,-104.0,61.0,-104.0,60.0
10516,165466.015625,3.4481967360178283,0.7935258609089385,6.969170878650025,-103.0,60.0,-104.0,60.0,-104.0,61.0,-103.0,61.0,-103.0,60.0
10517,21984.4375,7.229528132116185,4.738472669587293,11.061731167786304,-102.0,60.0,-103.0,60.0,-103.0,61.0,-102.0,61.0,-102.0,60.0
10522,87.0424575805664,69.97353540841046,68.75267391596455,70.44583629047293,-97.0,60.0,-98.0,60.0,-98.0,61.0,-97.0,61.0,-97.0,60.0
10654,114366.1875,4.3153051683217125,5.885405651473693,5.291459615194395,35.0,60.0,34.0,60.0,34.0,61.0,35.0,61.0,35.0,60.0
10655,79378.9375,16.07462582564802,9.388500806652898,7.305395480381682,36.0,60.0,35.0,60.0,35.0,61.0,36.0,61.0,36.0,60.0
10656,24809.8984375,9.34913830700763,8.471606122430343,7.117961360558271,37.0,60.0,36.0,60.0,36.0,61.0,37.0,61.0,37.0,60.0
10657,2092.191162109375,19.88784793715937,10.069763927551005,3.2863086614742905,38.0,60.0,37.0,60.0,37.0,61.0,38.0,61.0,38.0,60.0
10671,7.395208358764648,3.361629817660545,4.988710980731292,6.193653234444585,52.0,60.0,51.0,60.0,51.0,61.0,52.0,61.0,52.0,60.0
10672,3258.76953125,4.601952963457977,6.026601897524109,7.061070189213001,53.0,60.0,52.0,60.0,52.0,61.0,53.0,61.0,53.0,60.0
10673,29471.92578125,6.584059803735361,7.607027503531234,8.97009640928145,54.0,60.0,53.0,60.0,53.0,61.0,54.0,61.0,54.0,60.0
10674,18539.814453125,4.627361827401649,5.252157387210906,6.806203077519506,55.0,60.0,54.0,60.0,54.0,61.0,55.0,61.0,55.0,60.0
10675,28070.59375,10.91219932113121,11.868145768648018,13.561240410616538,56.0,60.0,55.0,60.0,55.0,61.0,56.0,61.0,56.0,60.0
10676,99224.765625,8.158450235694371,8.722620754489688,9.93729514037338,57.0,60.0,56.0,60.0,56.0,61.0,57.0,61.0,57.0,60.0
10677,159199.84375,6.343501043794209,7.578682061363518,8.832589542035905,58.0,60.0,57.0,60.0,57.0,61.0,58.0,61.0,58.0,60.0
10678,236896.5,1.8389557781562835,5.939289415419814,5.831383642223503,59.0,60.0,58.0,60.0,58.0,61.0,59.0,61.0,59.0,60.0
10679,291296.09375,2.2159153996550973,6.52967475640926,6.369850265113622,60.0,60.0,59.0,60.0,59.0,61.0,60.0,61.0,60.0,60.0
10703,564.5562133789062,62.08808750218521,64.05293194181988,65.12963841270772,84.0,60.0,83.0,60.0,83.0,61.0,84.0,61.0,84.0,60.0
10709,21183.005859375,2.4876865935519694,4.8550766529663045,3.67536476902042,90.0,60.0,89.0,60.0,89.0,61.0,90.0,61.0,90.0,60.0
10710,77976.453125,2.9430559265387206,6.073377920778569,5.138871049413354,91.0,60.0,90.0,60.0,90.0,61.0,91.0,61.0,91.0,60.0
10711,94299.0546875,1.2983709821454832,5.25557859930164,4.438314971841165,92.0,60.0,91.0,60.0,91.0,61.0,92.0,61.0,92.0,60.0
10712,4024.397705078125,1.0012780323724926,5.176137272579305,4.461550529233527,93.0,60.0,92.0,60.0,92.0,61.0,93.0,61.0,93.0,60.0
10713,18558.298828125,1.2122377444642616,5.184022604442567,4.2469102592558565,94.0,60.0,93.0,60.0,93.0,61.0,94.0,61.0,94.0,60.0
10714,2009.8778076171875,1.1676218996279302,4.573365954609312,4.2108983348171956,95.0,60.0,94.0,60.0,94.0,61.0,95.0,61.0,95.0,60.0
10733,160.80221557617188,5.565272461472563,3.678826273678553,6.943222714330368,114.0,60.0,113.0,60.0,113.0,61.0,114.0,61.0,114.0,60.0
10734,1145.232421875,5.411723022926227,3.469546813470928,7.045193303078831,115.0,60.0,114.0,60.0,114.0,61.0,115.0,61.0,115.0,60.0
10739,2622.955078125,3.8096828407248804,4.203255810143765,4.623840149282961,120.0,60.0,119.0,60.0,119.0,61.0,120.0,61.0,120.0,60.0
10740,5157.703125,3.1403649880488227,4.119085378968958,6.072597343778875,121.0,60.0,120.0,60.0,120.0,61.0,121.0,61.0,121.0,60.0
10741,144.0374298095703,2.4189701362457052,4.350951207127986,7.124352345328533,122.0,60.0,121.0,60.0,121.0,61.0,122.0,61.0,122.0,60.0
10751,1168.086669921875,1.6502932500752956,2.7870409404736103,2.6381638308674105,132.0,60.0,131.0,60.0,131.0,61.0,132.0,61.0,132.0,60.0
10782,90.25245666503906,-0.21876534819101623,3.3813570569344446e-05,-0.16391973672753954,163.0,60.0,162.0,60.0,162.0,61.0,163.0,61.0,163.0,60.0
10842,13429.783203125,-47.852993048769726,-47.78616324578257,-47.77562303584515,-137.0,59.0,-138.0,59.0,-138.0,60.0,-137.0,60.0,-137.0,59.0
10843,305052.4375,-48.73656455375807,-48.63816958518812,-48.54523986552312,-136.0,59.0,-137.0,59.0,-137.0,60.0,-136.0,60.0,-136.0,59.0
10844,601635.25,-39.570726199969165,-39.7045230062567,-39.36629378015999,-135.0,59.0,-136.0,59.0,-136.0,60.0,-135.0,60.0,-135.0,59.0
10845,23014.677734375,-19.669699576060285,-19.500030338994772,-19.424501093264617,-134.0,59.0,-135.0,59.0,-135.0,60.0,-134.0,60.0,-134.0,59.0
10846,64687.5703125,1.7828241491041859,1.753536741324798,1.7247445020893093,-133.0,59.0,-134.0,59.0,-134.0,60.0,-133.0,60.0,-133.0,59.0
10847,115235.40625,7.326571721527644,7.541478272872405,7.594040514349295,-132.0,59.0,-133.0,59.0,-133.0,60.0,-132.0,60.0,-132.0,59.0
10848,11208.787109375,10.091395579535378,11.057800459635201,11.445453213238288,-131.0,59.0,-132.0,59.0,-132.0,60.0,-131.0,60.0,-131.0,59.0
10849,49005.81640625,8.230281019735461,9.61069751844667,10.199227786178762,-130.0,59.0,-131.0,59.0,-131.0,60.0,-130.0,60.0,-130.0,59.0
10864,948.4517822265625,9.223579185702645,11.058498012218463,9.189910005731225,-115.0,59.0,-116.0,59.0,-116.0,60.0,-115.0,60.0,-115.0,59.0
10865,70353.59375,6.844977268840656,7.8169869609539315,7.17251917212829,-114.0,59.0,-115.0,59.0,-115.0,60.0,-114.0,60.0,-114.0,59.0
10866,150131.96875,4.041819041289299,4.002624357778562,3.8520172772995758,-113.0,59.0,-114.0,59.0,-114.0,60.0,-113.0,60.0,-113.0,59.0
10867,127866.328125,6.939693490944217,6.114356484341252,6.808232963012521,-112.0,59.0,-113.0,59.0,-113.0,60.0,-112.0,60.0,-112.0,59.0
10868,190331.8125,9.251926487591243,8.024440212799423,9.144277313073976,-111.0,59.0,-112.0,59.0,-112.0,60.0,-111.0,60.0,-111.0,59.0
