,2015,SSP1,SSP3,SSP5,lat1,long1,lat2,long2,lat3,long3,lat4,long4,lat5,long5
9925,13489.0,0.0,0.0,0.0,26.0,62.0,25.0,62.0,25.0,63.0,26.0,63.0,26.0,62.0
9926,50799.0,0.0,0.0,0.0,27.0,62.0,26.0,62.0,26.0,63.0,27.0,63.0,27.0,62.0
9927,50799.0,0.0,0.0,0.0,28.0,62.0,27.0,62.0,27.0,63.0,28.0,63.0,28.0,62.0
9928,50799.0,0.0,0.0,0.0,29.0,62.0,28.0,62.0,28.0,63.0,29.0,63.0,29.0,62.0
9929,50799.0,0.0,0.0,0.0,30.0,62.0,29.0,62.0,29.0,63.0,30.0,63.0,30.0,62.0
9930,50799.0,0.0,0.0,0.0,31.0,62.0,30.0,62.0,30.0,63.0,31.0,63.0,31.0,62.0
9931,50799.0,0.0,0.0,0.0,32.0,62.0,31.0,62.0,31.0,63.0,32.0,63.0,32.0,62.0
9932,50799.0,0.0,0.0,0.0,33.0,62.0,32.0,62.0,32.0,63.0,33.0,63.0,33.0,62.0
9933,50799.0,0.0,0.0,0.0,34.0,62.0,33.0,62.0,33.0,63.0,34.0,63.0,34.0,62.0
9934,50799.0,0.0,0.0,0.0,35.0,62.0,34.0,62.0,34.0,63.0,35.0,63.0,35.0,62.0
9935,50799.0,0.0,0.0,0.0,36.0,62.0,35.0,62.0,35.0,63.0,36.0,63.0,36.0,62.0
9936,50799.0,0.0,0.0,0.0,37.0,62.0,36.0,62.0,36.0,63.0,37.0,63.0,37.0,62.0
9937,50799.0,0.0,0.0,0.0,38.0,62.0,37.0,62.0,37.0,63.0,38.0,63.0,38.0,62.0
9938,50799.0,0.0,0.0,0.0,39.0,62.0,38.0,62.0,38.0,63.0,39.0,63.0,39.0,62.0
9939,50799.0,0.0,0.0,0.0,40.0,62.0,39.0,62.0,39.0,63.0,40.0,63.0,40.0,62.0
9940,51086.0,0.0,0.0,0.0,41.0,62.0,40.0,62.0,40.0,63.0,41.0,63.0,41.0,62.0
9941,50799.0,0.0,0.0,0.0,42.0,62.0,41.0,62.0,41.0,63.0,42.0,63.0,42.0,62.0
9942,50799.0,0.0,0.0,0.0,43.0,62.0,42.0,62.0,42.0,63.0,43.0,63.0,43.0,62.0
9943,50799.0,0.0,0.0,0.0,44.0,62.0,43.0,62.0,43.0,63.0,44.0,63.0,44.0,62.0
9944,50799.0,0.0,0.0,0.0,45.0,62.0,44.0,62.0,44.0,63.0,45.0,63.0,45.0,62.0
9945,50799.0,0.0,0.0,0.0,46.0,62.0,45.0,62.0,45.0,63.0,46.0,63.0,46.0,62.0
9946,50799.0,0.0,0.0,0.0,47.0,62.0,46.0,62.0,46.0,63.0,47.0,63.0,47.0,62.0
9947,50799.0,0.0,0.0,0.0,48.0,62.0,47.0,62.0,47.0,63.0,48.0,63.0,48.0,62.0
9948,50799.0,0.0,0.0,0.0,49.0,62.0,48.0,62.0,48.0,63.0,49.0,63.0,49.0,62.0
9949,50799.0,0.0,0.0,0.0,50.0,62.0,49.0,62.0,49.0,63.0,50.0,63.0,50.0,62.0
9950,50799.0,0.0,0.0,0.0,51.0,62.0,50.0,62.0,50.0,63.0,51.0,63.0,51.0,62.0
9951,50799.0,0.0,0.0,0.0,52.0,62.0,51.0,62.0,51.0,63.0,52.0,63.0,52.0,62.0
9952,50799.0,0.0,0.0,0.0,53.0,62.0,52.0,62.0,52.0,63.0,53.0,63.0,53.0,62.0
9953,50799.0,0.0,0.0,0.0,54.0,62.0,53.0,62.0,53.0,63.0,54.0,63.0,54.0,62.0
9954,50799.0,0.0,0.0,0.0,55.0,62.0,54.0,62.0,54.0,63.0,55.0,63.0,55.0,62.0
9955,131990.5625,3.4033446520087374,3.465482143846459,4.838934980673334,56.0,62.0,55.0,62.0,55.0,63.0,56.0,63.0,56.0,62.0
9956,574056.375,5.398576925480533,5.54969448775828,7.4504442181310155,57.0,62.0,56.0,62.0,56.0,63.0,57.0,63.0,57.0,62.0
9957,231040.53125,4.508942356840257,5.063404053698911,6.1023654264126,58.0,62.0,57.0,62.0,57.0,63.0,58.0,63.0,58.0,62.0
9958,625619.25,3.20664285825604,3.5785643584336637,4.89105394375253,59.0,62.0,58.0,62.0,58.0,63.0,59.0,63.0,59.0,62.0
