,fid,lat,long,UN_cur_perc,NCP_cur
0,8845,65.5,25.5,0.0,0.3333332935969035
1,9204,64.5,24.5,7.004475829151939e-05,0.8590453863143921
2,9205,64.5,25.5,0.0034715655045501853,0.5225115219751993
3,9206,64.5,26.5,9.216304808726084e-05,0.8966132799784342
4,9207,64.5,27.5,0.0,0.9999999602635702
5,9208,64.5,28.5,1.5235779142362372e-10,0.3297658363978068
6,9561,63.5,21.5,0.0002032591870626412,0.7317838271458944
7,9562,63.5,22.5,0.0030295484128292777,0.6008152763048807
8,9563,63.5,23.5,0.0015021567164197672,0.7182073791821798
9,9564,63.5,24.5,0.0014009072509093647,0.5892054041226705
10,9565,63.5,25.5,0.0013389514311262028,0.6947290897369385
11,9566,63.5,26.5,1.818381458211946e-05,0.986395537853241
12,9567,63.5,27.5,3.725851026400195e-06,0.9968998630841573
13,9568,63.5,28.5,3.007943444156768e-08,0.9945438305536906
14,9569,63.5,29.5,3.093841341560098e-07,0.9869832396507263
15,9570,63.5,30.5,0.0,0.9999999602635702
16,9921,62.5,21.5,8.268657571844949e-09,0.9973669250806173
17,9922,62.5,22.5,0.0,0.3333333333333333
18,9923,62.5,23.5,0.00210771998285736,0.6565234065055847
19,9924,62.5,24.5,0.006480525810859758,0.5980489651362101
20,9925,62.5,25.5,0.000650682750805944,0.7952122886975607
21,9926,62.5,26.5,2.5240219661842164e-08,0.9769361615180969
22,9927,62.5,27.5,1.0839163843238328e-08,0.9947511951128641
23,9928,62.5,28.5,6.256220620964855e-10,0.9989834626515707
24,9929,62.5,29.5,0.0,1.00000003973643
25,9930,62.5,30.5,1.0081242622769819e-10,0.999894360701243
26,9931,62.5,31.5,3.598871111826276e-05,0.9607712229092916
27,10281,61.5,21.5,0.0,1.00000003973643
28,10282,61.5,22.5,0.0,0.9999999205271403
29,10283,61.5,23.5,0.0,0.0
30,10284,61.5,24.5,0.0,0.0
31,10285,61.5,25.5,1.9750059323068537e-07,0.9954211314519247
32,10286,61.5,26.5,0.0,0.0
33,10287,61.5,27.5,0.0,0.9999999403953552
34,10288,61.5,28.5,0.0,0.9999999602635702
35,10289,61.5,29.5,0.0,0.0
36,10290,61.5,30.5,0.0,0.0
37,10641,60.5,21.5,1.630231458299361e-07,0.9879897038141886
38,10642,60.5,22.5,2.0118722609330599e-07,0.9404908219973246
39,10643,60.5,23.5,0.0,1.00000003973643
40,10644,60.5,24.5,0.0,0.9999999602635702
41,10645,60.5,25.5,0.0,0.999999980131785
42,10646,60.5,26.5,0.0,0.3333333333333333
43,10647,60.5,27.5,0.0,1.00000003973643
44,10648,60.5,28.5,0.0,0.0
45,11003,59.5,23.5,2.4340355262858053e-10,0.33221354087193805
46,11004,59.5,24.5,3.179234355996209e-08,0.3090360164642334
47,9582,63.5,42.5,0.003501392100217947,0.6088880697886149
48,9932,62.5,32.5,0.003809639183515459,0.7183249195416769
49,9933,62.5,33.5,0.0011966083740665265,0.8279369274775187
50,9935,62.5,35.5,0.0002863842280705957,0.8344677289326986
51,9936,62.5,36.5,0.00019741647730728837,0.8852126399676005
52,9938,62.5,38.5,4.414174897092707e-06,0.9872905015945435
53,9939,62.5,39.5,0.0,0.9999999602635702
54,9940,62.5,40.5,9.700923592805526e-05,0.9098449945449829
55,9941,62.5,41.5,0.0,1.0
56,9942,62.5,42.5,7.53198350018545e-10,0.9999906818072001
57,9943,62.5,43.5,0.0,1.0000000596046448
58,9944,62.5,44.5,0.0,0.9999999602635702
59,9945,62.5,45.5,0.0,1.0
60,9950,62.5,50.5,0.0,1.0000000794728596
61,10291,61.5,31.5,8.923274013015885e-10,0.9465974768002828
62,10292,61.5,32.5,0.0,1.00000003973643
63,10293,61.5,33.5,0.0,0.0
64,10294,61.5,34.5,0.0,1.0000000794728596
65,10295,61.5,35.5,0.0,1.0000000794728596
66,10296,61.5,36.5,0.0,1.00000003973643
67,10297,61.5,37.5,0.0,1.00000003973643
68,10298,61.5,38.5,0.0,1.0000000794728596
69,10299,61.5,39.5,0.0,0.999999980131785
70,10300,61.5,40.5,0.0,0.999999980131785
71,10301,61.5,41.5,0.0,1.0
72,10302,61.5,42.5,5.411044974436654e-11,0.9999680916468302
73,10303,61.5,43.5,0.0,1.00000003973643
74,10304,61.5,44.5,0.0,0.9999999205271403
75,10305,61.5,45.5,0.0,1.00000003973643
76,10306,61.5,46.5,0.0,1.00000003973643
77,10307,61.5,47.5,0.0,1.00000003973643
78,10308,61.5,48.5,0.0,0.0
79,10309,61.5,49.5,0.0,1.0000000794728596
80,10310,61.5,50.5,0.0,0.9999999602635702
81,10311,61.5,51.5,0.0,0.0
82,10312,61.5,52.5,0.0,1.0
83,10313,61.5,53.5,0.0,0.3333333333333333
84,10314,61.5,54.5,1.7085077382272686e-06,0.9342329303423563
85,10325,61.5,65.5,3.751645256519046e-06,0.9882607261339823
86,10649,60.5,29.5,0.0009174155229813601,0.8065099120140076
87,10650,60.5,30.5,0.007120999466117969,0.636711061000824
88,10651,60.5,31.5,0.0014109933901114693,0.5398109157880148
89,10652,60.5,32.5,0.0,0.0
90,10653,60.5,33.5,0.0,0.0
91,10654,60.5,34.5,0.0,0.0
92,10655,60.5,35.5,2.1361813692717305e-08,0.9941719571749369
93,10656,60.5,36.5,0.0008798537101028951,0.6806895136833191
94,10657,60.5,37.5,0.0004148013109644343,0.8222651282946268
95,10658,60.5,38.5,0.0014472530487893978,0.6255404154459635
96,10659,60.5,39.5,0.008363070810459618,0.6844862898190817
97,10660,60.5,40.5,0.00747609340297123,0.6887385845184326
98,10661,60.5,41.5,0.000331913178061476,0.7081598043441772
99,10662,60.5,42.5,0.0003546103110708829,0.8193273146947225
100,10663,60.5,43.5,0.0007425308108354636,0.8503355979919434
101,10664,60.5,44.5,0.00013150668761573644,0.9503861665725708
102,10665,60.5,45.5,5.542783762040949e-10,0.999921719233195
103,10666,60.5,46.5,9.928303503203664e-08,0.9872282942136129
104,10667,60.5,47.5,5.082512235397454e-06,0.7661630312601725
105,10668,60.5,48.5,0.0,0.9999999602635702
106,10669,60.5,49.5,5.438851033038163e-08,0.9980172316233317
107,10670,60.5,50.5,0.0,0.999999980131785
108,10671,60.5,51.5,0.0,1.0000000794728596
109,10672,60.5,52.5,0.0,1.00000003973643
110,10673,60.5,53.5,0.0,1.0000000794728596
111,10674,60.5,54.5,7.034009735329746e-07,0.9917367696762085
112,10675,60.5,55.5,0.0,1.0000000198682149
113,10676,60.5,56.5,0.0,1.0000000198682149
114,10677,60.5,57.5,0.0,0.9999999205271403
115,10680,60.5,60.5,0.0,0.9999999403953552
116,10684,60.5,64.5,0.0,1.00000003973643
117,10686,60.5,66.5,0.0,0.9999999403953552
118,10687,60.5,67.5,0.0,0.999999980131785
119,11007,59.5,27.5,0.0,1.0
120,11008,59.5,28.5,0.0,1.0000000198682149
121,11009,59.5,29.5,0.0,1.0000000794728596
122,11010,59.5,30.5,0.0,1.0
123,11011,59.5,31.5,0.0,1.0000000794728596
124,11012,59.5,32.5,0.0,0.999999980131785
125,11013,59.5,33.5,0.0,1.0
126,11014,59.5,34.5,0.0,0.9999999205271403
127,11015,59.5,35.5,0.0,1.0
128,11016,59.5,36.5,0.0,1.00000003973643
129,11017,59.5,37.5,0.0,0.999999980131785
130,11018,59.5,38.5,0.0,1.0
131,11019,59.5,39.5,0.0,0.999999980131785
132,11020,59.5,40.5,0.0,1.0
133,11021,59.5,41.5,0.0,0.0
134,11022,59.5,42.5,0.0,0.0
135,11023,59.5,43.5,0.0,0.0
136,11024,59.5,44.5,0.0,0.3333332935969035
137,11025,59.5,45.5,1.1245384154377566e-08,0.5703020294507345
138,11026,59.5,46.5,0.0004225140287930238,0.10077402740716934
139,11027,59.5,47.5,2.824560013018009e-07,0.18791782359282175
140,11028,59.5,48.5,0.00017655358690235904,0.9050044814745585
141,11029,59.5,49.5,0.0014739740704571244,0.8792282938957214
142,11030,59.5,50.5,0.0017982946879773671,0.8546426693598429
143,11031,59.5,51.5,0.0,0.0
144,11032,59.5,52.5,0.0,0.0
145,11033,59.5,53.5,0.0012559318384743814,0.5583606561024984
146,11034,59.5,54.5,0.002202128221620005,0.5249655644098917
147,11035,59.5,55.5,0.0020054183017037376,0.6145175298055013
148,11036,59.5,56.5,0.00666881169269405,0.591058353583018
149,11037,59.5,57.5,0.00041568613128237697,0.8817805250485738
150,11040,59.5,60.5,9.806199418406098e-10,0.9993037581443787
151,11041,59.5,61.5,1.635241122967438e-06,0.9187125364939371
152,11042,59.5,62.5,0.00029695203469429546,0.5336279372374216
153,11043,59.5,63.5,0.00046935258138755835,0.7385141650835673
154,11044,59.5,64.5,0.0002961009321271363,0.43647004167238873
155,11045,59.5,65.5,3.923356353058449e-06,0.7037463784217834
156,11046,59.5,66.5,7.76502380674373e-05,0.6363040606180826
157,11047,59.5,67.5,0.00019937964900035863,0.33742091059684753
158,11048,59.5,68.5,2.95771691988482e-06,0.9287307262420654
159,11060,59.5,80.5,6.838927338862012e-07,0.958305299282074
160,11069,59.5,89.5,3.347121582488268e-07,0.9553181529045105
161,11071,59.5,91.5,7.109765549309993e-09,0.9932219187418619
162,11079,59.5,99.5,0.0,0.9999999602635702
163,11367,58.5,27.5,0.0,0.999999980131785
164,11368,58.5,28.5,4.202022394397616e-09,0.9979671438535055
165,11369,58.5,29.5,4.920413116690997e-06,0.9920626481374105
166,11370,58.5,30.5,2.4973911090131215e-07,0.9929204185803732
167,11371,58.5,31.5,0.0,0.9999999403953552
168,11372,58.5,32.5,0.0,0.999999980131785
169,11373,58.5,33.5,3.5226643888890285e-10,0.9989219307899475
170,11374,58.5,34.5,0.0,0.9999999602635702
171,11375,58.5,35.5,1.720649671247364e-08,0.985787590344747
172,11376,58.5,36.5,2.3103966784783307e-07,0.9709493319193522
173,11377,58.5,37.5,3.7426079105635695e-05,0.9723634521166483
174,11378,58.5,38.5,3.4738259544374337e-09,0.9936856627464294
175,11379,58.5,39.5,0.0,1.0
176,11380,58.5,40.5,6.022963353917512e-06,0.9716265797615051
177,11381,58.5,41.5,2.0493788197436437e-12,0.9999895493189493
178,11382,58.5,42.5,0.0,1.0000000198682149
179,11383,58.5,43.5,4.306868215779522e-08,0.7749768694241842
180,11384,58.5,44.5,0.0,1.0000000198682149
181,11385,58.5,45.5,6.549483810951134e-05,0.9804365634918213
182,11386,58.5,46.5,1.378485816916312e-05,0.9635759194691976
183,11387,58.5,47.5,3.5524975157593254e-09,0.9790478150049845
184,11388,58.5,48.5,0.0,1.0000000198682149
185,11389,58.5,49.5,0.0,1.0000000198682149
186,11390,58.5,50.5,0.0,1.0
187,11391,58.5,51.5,6.374716432907314e-11,0.997809648513794
188,11392,58.5,52.5,0.0,0.0
189,11393,58.5,53.5,0.0,0.0
190,11394,58.5,54.5,0.0,1.0
191,11395,58.5,55.5,0.0,0.0
192,11396,58.5,56.5,0.0,0.0
193,11397,58.5,57.5,0.0,0.0
194,11398,58.5,58.5,0.0,0.0
195,11399,58.5,59.5,0.0,0.0
196,11400,58.5,60.5,0.0,0.0
197,11401,58.5,61.5,0.0,0.0
198,11402,58.5,62.5,0.0,0.3333333333333333
199,11403,58.5,63.5,1.3779177956321574e-08,0.3302740454673767
200,11404,58.5,64.5,2.2282780757577147e-07,0.6420187552769979
201,11405,58.5,65.5,0.0003037712941953339,0.31383922696113586
202,11406,58.5,66.5,2.763834031663518e-05,0.41116360823313397
203,11407,58.5,67.5,0.0,0.3333333333333333
204,11408,58.5,68.5,0.0,1.0
205,11409,58.5,69.5,2.6366695773410345e-07,0.9393989642461141
206,11415,58.5,75.5,1.33733060147802e-07,0.2211457391579946
207,11416,58.5,76.5,0.007984871175921646,0.0614866279065609
208,11417,58.5,77.5,0.0007047491497456097,0.22438713908195496
209,11418,58.5,78.5,0.0,0.9999999602635702
210,11419,58.5,79.5,4.915864394373514e-07,0.997071901957194
211,11420,58.5,80.5,2.3733524593774146e-10,0.9985372026761373
212,11421,58.5,81.5,1.9708617958009166e-07,0.5825476050376892
213,11422,58.5,82.5,2.6531613414153697e-08,0.9297869801521301
214,11423,58.5,83.5,0.013222757597369567,0.3585334320863088
215,11424,58.5,84.5,0.027079752165033714,0.2933923006057739
216,11425,58.5,85.5,0.006518284433231789,0.4172527988751729
217,11426,58.5,86.5,0.013177913249819376,0.3196115493774414
218,11428,58.5,88.5,0.0021011385108761736,0.5013121763865153
219,11430,58.5,90.5,0.00024061980662211662,0.8585477868715922
220,11431,58.5,91.5,0.0,0.9999999403953552
221,11432,58.5,92.5,1.4212949176305223e-08,0.9969626069068909
222,11433,58.5,93.5,9.160337111666202e-08,0.992193321386973
223,11436,58.5,96.5,1.0259068181097403e-06,0.9845422903696696
224,11437,58.5,97.5,0.000522717810524474,0.7690822879473368
225,11438,58.5,98.5,0.00113211705608156,0.8037694295247396
226,11439,58.5,99.5,0.00013638332791665136,0.895767867565155
227,11440,58.5,100.5,7.327495995938608e-09,0.9844099680582682
228,11441,58.5,101.5,5.431237977213514e-06,0.8485762476921082
229,11728,57.5,28.5,0.004177990725745206,0.5320595105489095
230,11729,57.5,29.5,0.007171464263649494,0.39405572414398193
231,11730,57.5,30.5,2.082541747300639e-07,0.9653060038884481
232,11731,57.5,31.5,0.0003453532234162849,0.8403489192326864
233,11732,57.5,32.5,0.00017752970960972027,0.7837193012237549
234,11733,57.5,33.5,5.255169654437743e-08,0.9962085485458374
235,11734,57.5,34.5,3.366158628207801e-06,0.9360516667366028
236,11735,57.5,35.5,4.8352973649412594e-05,0.8026038209597269
237,11736,57.5,36.5,0.0003724815801244951,0.4714316427707672
238,11737,57.5,37.5,0.0001589280279068176,0.8545078237851461
239,11738,57.5,38.5,0.0004578347220022998,0.6262927055358887
240,11739,57.5,39.5,6.598339344861094e-05,0.9424296617507935
241,11740,57.5,40.5,4.299911092111538e-08,0.9992153644561768
242,11741,57.5,41.5,3.1214492692470492e-06,0.994134763876597
243,11742,57.5,42.5,2.089854186451441e-05,0.9717511932055155
244,11743,57.5,43.5,0.00043278301872158007,0.8537645141283671
245,11744,57.5,44.5,6.030215788415387e-06,0.9967740178108215
246,11745,57.5,45.5,5.306178413298403e-06,0.9382954041163126
247,11746,57.5,46.5,5.124951971497875e-05,0.6713756124178568
248,11747,57.5,47.5,1.98158124822951e-06,0.9424754579861959
249,11748,57.5,48.5,1.1063608157148845e-06,0.9675071239471436
250,11749,57.5,49.5,7.701638391051078e-06,0.7096154491106669
251,11750,57.5,50.5,6.407170189872715e-06,0.2578062266111374
252,11751,57.5,51.5,9.122578146660869e-08,0.9238545298576355
253,11752,57.5,52.5,9.310173389077411e-05,0.938486119111379
254,11753,57.5,53.5,0.00013189326045915458,0.8602790037790934
255,11754,57.5,54.5,5.113877845826809e-07,0.8763868610064188
256,11755,57.5,55.5,1.2525048034067817e-08,0.9968164364496866
257,11756,57.5,56.5,0.0,0.0
258,11757,57.5,57.5,1.9713673785872184e-09,0.9988008340199789
259,11758,57.5,58.5,4.822357476222539e-09,0.9804080327351888
260,11759,57.5,59.5,0.0,0.9999999403953552
261,11760,57.5,60.5,1.9223363760809178e-08,0.9364937543869019
262,11761,57.5,61.5,4.093380312247422e-07,0.8357752958933512
263,11762,57.5,62.5,0.0,1.00000003973643
264,11763,57.5,63.5,0.0,0.999999980131785
265,11764,57.5,64.5,0.0,1.0
266,11765,57.5,65.5,0.0,0.0
267,11766,57.5,66.5,0.0,0.0
268,11767,57.5,67.5,0.0,0.0
269,11768,57.5,68.5,0.0,0.0
270,11769,57.5,69.5,0.0,0.0
271,11770,57.5,70.5,0.0,0.0
272,11771,57.5,71.5,0.0,0.0
273,11772,57.5,72.5,0.0,0.0
274,11773,57.5,73.5,0.0,0.0
275,11774,57.5,74.5,0.0,0.0
276,11775,57.5,75.5,0.0,0.0
277,11776,57.5,76.5,0.0,0.0
278,11777,57.5,77.5,0.0,0.0
279,11778,57.5,78.5,0.0,0.0
280,11779,57.5,79.5,0.0,0.0
281,11780,57.5,80.5,0.0,0.0
282,11781,57.5,81.5,0.0,0.0
283,11782,57.5,82.5,0.0,0.999999980131785
284,11783,57.5,83.5,1.6750569703406187e-08,0.9732841650644938
285,11784,57.5,84.5,0.0,0.0
286,11785,57.5,85.5,0.0,0.0
287,11786,57.5,86.5,0.0,0.6666666666666666
288,11787,57.5,87.5,0.0,0.0
289,11788,57.5,88.5,0.0,0.0
290,11789,57.5,89.5,0.0,1.0
291,11790,57.5,90.5,0.0,0.0
292,11791,57.5,91.5,0.0001394520924493574,0.30887003739674884
293,11792,57.5,92.5,3.70251968006519e-05,0.22754939397176108
294,11793,57.5,93.5,0.0,0.3333333333333333
295,11794,57.5,94.5,0.0,0.9999999602635702
296,11795,57.5,95.5,2.4790368329482628e-05,0.8555153409639994
297,11796,57.5,96.5,0.0029106362956549258,0.2864326536655426
298,11797,57.5,97.5,0.06612382525030053,0.013028176501393318
299,11798,57.5,98.5,0.01003605553580946,0.06721470753351848
300,11799,57.5,99.5,1.708805104865058e-05,0.28468363483746845
301,11800,57.5,100.5,0.0017257574084518985,0.28224992752075195
302,12089,56.5,29.5,0.001449453453801959,0.21823430061340332
303,12090,56.5,30.5,4.925219051082671e-08,0.78627081712087
304,12091,56.5,31.5,0.00209393645790187,0.41561638315518695
305,12092,56.5,32.5,7.204825139905938e-07,0.9376648863156637
306,12093,56.5,33.5,2.0747960437328043e-05,0.9810039401054382
307,12094,56.5,34.5,0.00011934906793046168,0.8475068410237631
308,12095,56.5,35.5,1.2530569255506523e-07,0.9751254518826803
309,12096,56.5,36.5,5.409786625145264e-09,0.32505351305007935
310,12097,56.5,37.5,0.004075094686931453,0.243573988477389
311,12098,56.5,38.5,0.000296833560807254,0.8370859821637472
312,12099,56.5,39.5,0.00033842009106843315,0.9230625033378601
313,12100,56.5,40.5,3.6145023750627764e-07,0.9965553681055704
314,12101,56.5,41.5,9.31645106962065e-06,0.9880107839902242
315,12102,56.5,42.5,0.00013693714709953498,0.9580803513526917
316,12103,56.5,43.5,7.303848282696442e-05,0.9748092889785767
317,12104,56.5,44.5,0.0035434529190116137,0.7875322898228964
318,12105,56.5,45.5,0.004090425533543638,0.771639088789622
319,12106,56.5,46.5,0.0002745342152919636,0.7951050996780396
320,12107,56.5,47.5,0.0009140052238538301,0.6452397505442301
321,12108,56.5,48.5,0.002235176596741805,0.4260505934556325
322,12109,56.5,49.5,0.0001640867049108848,0.8790185848871866
