,lat1,long1,lat2,long2,lat3,long3,lat4,long4,lat5,long5,NCP_cur,pop,PN,country,PNpop_c_norm
178,-107.0,60.0,-108.0,60.0,-108.0,61.0,-107.0,61.0,-107.0,60.0,87.80970444322145,0.0,259947.9375,Canada,0.0005511295786627055
179,-106.0,60.0,-107.0,60.0,-107.0,61.0,-106.0,61.0,-106.0,60.0,91.4064137966055,0.0,974794.125,Canada,0.0020667133602247974
180,-105.0,60.0,-106.0,60.0,-106.0,61.0,-105.0,61.0,-105.0,60.0,96.17137655406998,0.0,1429090.25,Canada,0.003029890965584139
181,-104.0,60.0,-105.0,60.0,-105.0,61.0,-104.0,61.0,-104.0,60.0,91.02937198421624,0.0,1424406.875,Canada,0.0030199614908004843
182,-103.0,60.0,-104.0,60.0,-104.0,61.0,-103.0,61.0,-103.0,60.0,85.94160590879687,0.0,1176990.875,Canada,0.002495401545659885
183,-102.0,60.0,-103.0,60.0,-103.0,61.0,-102.0,61.0,-102.0,60.0,88.12886464683008,0.0,185192.375,Canada,0.00039263629704811855
188,-97.0,60.0,-98.0,60.0,-98.0,61.0,-97.0,61.0,-97.0,60.0,99.82630026400344,0.0,50110.875,Canada,0.00010624275649492122
201,35.0,60.0,34.0,60.0,34.0,61.0,35.0,61.0,35.0,60.0,92.2539237534333,14052.0,1476440.25,Russia,0.0037188629646244696
202,36.0,60.0,35.0,60.0,35.0,61.0,36.0,61.0,36.0,60.0,96.79807795380808,10800.0,2479102.75,Russia,0.005708449883010949
203,37.0,60.0,36.0,60.0,36.0,61.0,37.0,61.0,37.0,60.0,99.1484976443302,17020.0,2913661.75,Russia,0.00689031019923036
204,38.0,60.0,37.0,60.0,37.0,61.0,38.0,61.0,38.0,60.0,99.91689322829644,14423.0,2517473.75,Russia,0.0059415644205363435
218,52.0,60.0,51.0,60.0,51.0,61.0,52.0,61.0,52.0,60.0,99.99834924677103,1376.0,447989.9375,Russia,0.0010074796302750849
219,53.0,60.0,52.0,60.0,52.0,61.0,53.0,61.0,53.0,60.0,99.87635650729857,17449.0,2635617.5,Russia,0.006318789773579653
220,54.0,60.0,53.0,60.0,53.0,61.0,54.0,61.0,54.0,60.0,99.1585943625295,23797.0,3502701.25,Russia,0.008422991173431925
221,55.0,60.0,54.0,60.0,54.0,61.0,55.0,61.0,55.0,60.0,99.50180257229579,25480.0,3721379.0,Russia,0.00895710504729043
222,56.0,60.0,55.0,60.0,55.0,61.0,56.0,61.0,56.0,60.0,99.25905656826387,18427.0,3788493.5,Russia,0.008803997897343934
223,57.0,60.0,56.0,60.0,56.0,61.0,57.0,61.0,57.0,60.0,97.45020819494357,12613.0,3891485.0,Russia,0.008778848629524409
224,58.0,60.0,57.0,60.0,57.0,61.0,58.0,61.0,58.0,60.0,96.00197405863756,15738.0,3981961.25,Russia,0.009101560702784237
225,59.0,60.0,58.0,60.0,58.0,61.0,59.0,61.0,59.0,60.0,94.2220866136403,19980.0,4100035.5,Russia,0.009529589973660825
226,60.0,60.0,59.0,60.0,59.0,61.0,60.0,61.0,60.0,60.0,89.27659606875035,18087.0,2716451.75,Russia,0.006516865026117737
247,84.0,60.0,83.0,60.0,83.0,61.0,84.0,61.0,84.0,60.0,99.31752027845367,6.0,82721.34375,Russia,0.00017564175974313934
253,90.0,60.0,89.0,60.0,89.0,61.0,90.0,61.0,90.0,60.0,93.32610613722862,102.0,317401.0,Russia,0.0006772122566567083
254,91.0,60.0,90.0,60.0,90.0,61.0,91.0,61.0,91.0,60.0,91.88929885868518,413.0,961402.125,Russia,0.0020556254540122034
255,92.0,60.0,91.0,60.0,91.0,61.0,92.0,61.0,92.0,60.0,93.48904065359497,544.0,1448312.875,Russia,0.0030934315570638623
256,93.0,60.0,92.0,60.0,92.0,61.0,93.0,61.0,93.0,60.0,96.82956746602815,8.0,126935.296875,Russia,0.00026949223550127205
257,94.0,60.0,93.0,60.0,93.0,61.0,94.0,61.0,94.0,60.0,98.03245179708279,325.0,943219.625,Russia,0.0020134218172335704
258,95.0,60.0,94.0,60.0,94.0,61.0,95.0,61.0,95.0,60.0,99.64938385091061,199.0,573241.6875,Russia,0.0012236989005520067
277,114.0,60.0,113.0,60.0,113.0,61.0,114.0,61.0,114.0,60.0,99.9596160778595,409.0,398183.75,Russia,0.0008613687971973848
278,115.0,60.0,114.0,60.0,114.0,61.0,115.0,61.0,115.0,60.0,99.66593321041125,296.0,342815.40625,Russia,0.0007392218048771265
283,120.0,60.0,119.0,60.0,119.0,61.0,120.0,61.0,120.0,60.0,99.30615820353268,0.0,378033.59375,Russia,0.0008014893183900945
284,121.0,60.0,120.0,60.0,120.0,61.0,121.0,61.0,121.0,60.0,98.06222679225222,0.0,266166.5,Russia,0.000564313886887935
285,122.0,60.0,121.0,60.0,121.0,61.0,122.0,61.0,122.0,60.0,99.92765557126054,0.0,199099.546875,Russia,0.0004221216388037483
295,132.0,60.0,131.0,60.0,131.0,61.0,132.0,61.0,132.0,60.0,98.08688719474297,51.0,61056.86328125,Russia,0.0001316092454526115
301,163.0,60.0,162.0,60.0,162.0,61.0,163.0,61.0,163.0,60.0,99.58778656642104,0.0,21894.59375,Russia,4.6419903710252e-05
303,-137.0,59.0,-138.0,59.0,-138.0,60.0,-137.0,60.0,-137.0,59.0,82.32268177094821,0.0,75971.8359375,Canada,0.0001610719682300482
304,-136.0,59.0,-137.0,59.0,-137.0,60.0,-136.0,60.0,-136.0,59.0,81.37489838090211,436.0,1637856.5,Canada,0.0034908108200309676
305,-135.0,59.0,-136.0,59.0,-136.0,60.0,-135.0,60.0,-135.0,59.0,76.04949494306116,1749.0,2511994.0,United States,0.005399069208001823
306,-134.0,59.0,-135.0,59.0,-135.0,60.0,-134.0,60.0,-134.0,59.0,87.61089879521336,1.0,185765.515625,Canada,0.0003938954994540519
307,-133.0,59.0,-134.0,59.0,-134.0,60.0,-133.0,60.0,-133.0,59.0,88.30485795333203,0.0,553114.875,Canada,0.0011726885427233867
308,-132.0,59.0,-133.0,59.0,-133.0,60.0,-132.0,60.0,-132.0,59.0,86.93814787096711,0.0,882228.625,Canada,0.0018704602739170722
309,-131.0,59.0,-132.0,59.0,-132.0,60.0,-131.0,60.0,-131.0,59.0,91.4811987534395,0.0,131577.046875,Canada,0.00027896356133197555
310,-130.0,59.0,-131.0,59.0,-131.0,60.0,-130.0,60.0,-130.0,59.0,84.49539361206938,0.0,316072.625,Canada,0.0006701225419150145
325,-115.0,59.0,-116.0,59.0,-116.0,60.0,-115.0,60.0,-115.0,59.0,98.59689703800642,0.0,67596.734375,Canada,0.00014331546575578648
326,-114.0,59.0,-115.0,59.0,-115.0,60.0,-114.0,60.0,-114.0,59.0,86.22427294714397,0.0,510706.9375,Canada,0.0010827771975859422
327,-113.0,59.0,-114.0,59.0,-114.0,60.0,-113.0,60.0,-113.0,59.0,83.38116560686744,0.0,903384.5625,Canada,0.0019153141128539154
328,-112.0,59.0,-113.0,59.0,-113.0,60.0,-112.0,60.0,-112.0,59.0,85.08461555285807,0.0,857278.125,Canada,0.001817561379297361
329,-111.0,59.0,-112.0,59.0,-112.0,60.0,-111.0,60.0,-111.0,59.0,85.09716688941165,0.0,1277151.875,Canada,0.0027077582593131146
330,-110.0,59.0,-111.0,59.0,-111.0,60.0,-110.0,60.0,-110.0,59.0,83.60055018056738,0.0,1200106.0,Canada,0.0025444091632024772
331,-109.0,59.0,-110.0,59.0,-110.0,60.0,-109.0,60.0,-109.0,59.0,83.91859263955715,0.0,740018.3125,Canada,0.0015689530200207371
332,-108.0,59.0,-109.0,59.0,-109.0,60.0,-108.0,60.0,-108.0,59.0,83.912526442905,0.0,1016429.3125,Canada,0.0021549863565989954
333,-107.0,59.0,-108.0,59.0,-108.0,60.0,-107.0,60.0,-107.0,59.0,83.3920933271798,41.0,1660834.5,Canada,0.0035229572697220964
334,-106.0,59.0,-107.0,59.0,-107.0,60.0,-106.0,60.0,-106.0,59.0,82.74548865447218,1482.0,1903922.0,Canada,0.0040987022073072235
335,-105.0,59.0,-106.0,59.0,-106.0,60.0,-105.0,60.0,-105.0,59.0,84.80617028478204,1928.0,2056647.375,Canada,0.004441186666033452
336,-104.0,59.0,-105.0,59.0,-105.0,60.0,-104.0,60.0,-104.0,59.0,85.94933829847247,0.0,2146700.5,Canada,0.00455133498445249
337,-103.0,59.0,-104.0,59.0,-104.0,60.0,-103.0,60.0,-103.0,59.0,82.55168525397633,0.0,2190204.0,Canada,0.0046435690904659405
338,-102.0,59.0,-103.0,59.0,-103.0,60.0,-102.0,60.0,-102.0,59.0,83.03958259128062,0.0,1458510.5,Canada,0.0030922664171556735
339,-101.0,59.0,-102.0,59.0,-102.0,60.0,-101.0,60.0,-101.0,59.0,89.43414423198371,0.0,649218.0,Canada,0.001376441937725489
340,-100.0,59.0,-101.0,59.0,-101.0,60.0,-100.0,60.0,-100.0,59.0,86.87122342388973,0.0,793087.75,Canada,0.0016814679189368566
341,-99.0,59.0,-100.0,59.0,-100.0,60.0,-99.0,60.0,-99.0,59.0,86.88064914252222,0.0,1211328.75,Canada,0.002568203118016744
342,-98.0,59.0,-99.0,59.0,-99.0,60.0,-98.0,60.0,-98.0,59.0,86.81925307748259,0.0,1905016.875,Canada,0.004038928555315404
343,-97.0,59.0,-98.0,59.0,-98.0,60.0,-97.0,60.0,-97.0,59.0,87.24444858204764,0.0,2545757.25,Canada,0.005397396625122397
344,-96.0,59.0,-97.0,59.0,-97.0,60.0,-96.0,60.0,-96.0,59.0,85.26877562095709,0.0,2608765.25,Canada,0.00553098326876476
345,-95.0,59.0,-96.0,59.0,-96.0,60.0,-95.0,60.0,-95.0,59.0,91.15660084138958,0.0,2540678.0,Canada,0.005386627834497072
346,-94.0,59.0,-95.0,59.0,-95.0,60.0,-94.0,60.0,-94.0,59.0,89.48510490279853,0.0,623756.0,Canada,0.0013224585844938065
347,-78.0,59.0,-79.0,59.0,-79.0,60.0,-78.0,60.0,-78.0,59.0,81.0084464786649,0.0,59020.52734375,Canada,0.00012513258878005763
348,-77.0,59.0,-78.0,59.0,-78.0,60.0,-77.0,60.0,-77.0,59.0,81.85190299159349,0.0,1689271.125,Canada,0.0035815144075467976
349,-76.0,59.0,-77.0,59.0,-77.0,60.0,-76.0,60.0,-76.0,59.0,81.22905220767646,0.0,1951913.625,Canada,0.004138356872834369
350,-75.0,59.0,-76.0,59.0,-76.0,60.0,-75.0,60.0,-75.0,59.0,73.99387926832651,0.0,1865463.25,Canada,0.003955068791354658
351,-74.0,59.0,-75.0,59.0,-75.0,60.0,-74.0,60.0,-74.0,59.0,74.40374689788524,0.0,829222.625,Canada,0.0017580794074730161
353,-72.0,59.0,-73.0,59.0,-73.0,60.0,-72.0,60.0,-72.0,59.0,82.43013207127704,0.0,234673.234375,Canada,0.0004975433235915098
354,-71.0,59.0,-72.0,59.0,-72.0,60.0,-71.0,60.0,-71.0,59.0,85.33840441334493,0.0,924219.625,Canada,0.0019594876474757707
355,-70.0,59.0,-71.0,59.0,-71.0,60.0,-70.0,60.0,-70.0,59.0,89.63662823982746,0.0,1184491.125,Canada,0.002511303228366503
356,-69.0,59.0,-70.0,59.0,-70.0,60.0,-69.0,60.0,-69.0,59.0,88.60151804028816,9.0,298159.90625,Canada,0.0006325369373712317
357,-65.0,59.0,-66.0,59.0,-66.0,60.0,-65.0,60.0,-65.0,59.0,84.50596912908513,0.0,641995.875,Canada,0.0013611299227636493
358,-64.0,59.0,-65.0,59.0,-65.0,60.0,-64.0,60.0,-64.0,59.0,81.45357748616185,0.0,2488318.5,Canada,0.0052756176474130145
359,-63.0,59.0,-64.0,59.0,-64.0,60.0,-63.0,60.0,-63.0,59.0,80.73420254811766,0.0,79139.9140625,Canada,0.00016778878075410136
361,15.0,59.0,14.0,59.0,14.0,60.0,15.0,60.0,15.0,59.0,88.66890341180077,71.0,21270.26953125,Sweden,4.808428837213636e-05
362,16.0,59.0,15.0,59.0,15.0,60.0,16.0,60.0,16.0,59.0,91.32209012091297,3.0,7834.55908203125,Sweden,1.675351089661393e-05
364,24.0,59.0,23.0,59.0,23.0,60.0,24.0,60.0,24.0,59.0,90.3095840112021,511.0,143410.5625,Estonia,0.0003254733351730526
365,25.0,59.0,24.0,59.0,24.0,60.0,25.0,60.0,25.0,59.0,90.04879713623917,50188.0,1282439.5,Estonia,0.004821056548384376
366,26.0,59.0,25.0,59.0,25.0,60.0,26.0,60.0,26.0,59.0,89.352611832648,40109.0,1696253.875,Estonia,0.0052762839730662765
367,27.0,59.0,26.0,59.0,26.0,60.0,27.0,60.0,27.0,59.0,87.49915014434741,31708.0,1610567.625,Estonia,0.004742721836627969
368,28.0,59.0,27.0,59.0,27.0,60.0,28.0,60.0,28.0,59.0,86.89672553919671,15009.0,1281646.125,Estonia,0.0033459633702774276
369,29.0,59.0,28.0,59.0,28.0,60.0,29.0,60.0,29.0,59.0,88.78323941067758,118675.0,2415995.0,Russia,0.010092906365260005
370,30.0,59.0,29.0,59.0,29.0,60.0,30.0,60.0,30.0,59.0,87.17417052052035,112297.0,2052842.375,Russia,0.00905583173634971
371,31.0,59.0,30.0,59.0,30.0,60.0,31.0,60.0,31.0,59.0,84.3023525420554,172849.0,1233224.5,Russia,0.00985427284672476
372,32.0,59.0,31.0,59.0,31.0,60.0,32.0,60.0,32.0,59.0,91.02852978168244,12682.0,448380.6875,Russia,0.001481819730356658
373,33.0,59.0,32.0,59.0,32.0,60.0,33.0,60.0,33.0,59.0,84.59320324697882,3792.0,538523.6875,Russia,0.0013005815970283496
374,34.0,59.0,33.0,59.0,33.0,60.0,34.0,60.0,34.0,59.0,82.44207186929525,29194.0,2872061.0,Russia,0.0073120019024918576
375,35.0,59.0,34.0,59.0,34.0,60.0,35.0,60.0,35.0,59.0,81.45715412282651,41214.0,3927857.5,Russia,0.010053904595291646
