,2015,SSP1,SSP3,SSP5,lat1,long1,lat2,long2,lat3,long3,lat4,long4,lat5,long5
0,13489.0,0.0,0.0,0.0,26.0,62.0,25.0,62.0,25.0,63.0,26.0,63.0,26.0,62.0
1,50799.0,0.0,0.0,0.0,27.0,62.0,26.0,62.0,26.0,63.0,27.0,63.0,27.0,62.0
2,50799.0,0.0,0.0,0.0,28.0,62.0,27.0,62.0,27.0,63.0,28.0,63.0,28.0,62.0
3,50799.0,0.0,0.0,0.0,29.0,62.0,28.0,62.0,28.0,63.0,29.0,63.0,29.0,62.0
4,50799.0,0.0,0.0,0.0,30.0,62.0,29.0,62.0,29.0,63.0,30.0,63.0,30.0,62.0
5,50799.0,0.0,0.0,0.0,31.0,62.0,30.0,62.0,30.0,63.0,31.0,63.0,31.0,62.0
6,50799.0,0.0,0.0,0.0,32.0,62.0,31.0,62.0,31.0,63.0,32.0,63.0,32.0,62.0
7,50799.0,0.0,0.0,0.0,33.0,62.0,32.0,62.0,32.0,63.0,33.0,63.0,33.0,62.0
8,50799.0,0.0,0.0,0.0,34.0,62.0,33.0,62.0,33.0,63.0,34.0,63.0,34.0,62.0
9,50799.0,0.0,0.0,0.0,35.0,62.0,34.0,62.0,34.0,63.0,35.0,63.0,35.0,62.0
10,50799.0,0.0,0.0,0.0,36.0,62.0,35.0,62.0,35.0,63.0,36.0,63.0,36.0,62.0
11,50799.0,0.0,0.0,0.0,37.0,62.0,36.0,62.0,36.0,63.0,37.0,63.0,37.0,62.0
12,50799.0,0.0,0.0,0.0,38.0,62.0,37.0,62.0,37.0,63.0,38.0,63.0,38.0,62.0
13,50799.0,0.0,0.0,0.0,39.0,62.0,38.0,62.0,38.0,63.0,39.0,63.0,39.0,62.0
14,50799.0,0.0,0.0,0.0,40.0,62.0,39.0,62.0,39.0,63.0,40.0,63.0,40.0,62.0
15,51086.0,0.0,0.0,0.0,41.0,62.0,40.0,62.0,40.0,63.0,41.0,63.0,41.0,62.0
16,50799.0,0.0,0.0,0.0,42.0,62.0,41.0,62.0,41.0,63.0,42.0,63.0,42.0,62.0
17,50799.0,0.0,0.0,0.0,43.0,62.0,42.0,62.0,42.0,63.0,43.0,63.0,43.0,62.0
18,50799.0,0.0,0.0,0.0,44.0,62.0,43.0,62.0,43.0,63.0,44.0,63.0,44.0,62.0
19,50799.0,0.0,0.0,0.0,45.0,62.0,44.0,62.0,44.0,63.0,45.0,63.0,45.0,62.0
20,50799.0,0.0,0.0,0.0,46.0,62.0,45.0,62.0,45.0,63.0,46.0,63.0,46.0,62.0
21,50799.0,0.0,0.0,0.0,47.0,62.0,46.0,62.0,46.0,63.0,47.0,63.0,47.0,62.0
22,50799.0,0.0,0.0,0.0,48.0,62.0,47.0,62.0,47.0,63.0,48.0,63.0,48.0,62.0
23,50799.0,0.0,0.0,0.0,49.0,62.0,48.0,62.0,48.0,63.0,49.0,63.0,49.0,62.0
24,50799.0,0.0,0.0,0.0,50.0,62.0,49.0,62.0,49.0,63.0,50.0,63.0,50.0,62.0
25,50799.0,0.0,0.0,0.0,51.0,62.0,50.0,62.0,50.0,63.0,51.0,63.0,51.0,62.0
26,50799.0,0.0,0.0,0.0,52.0,62.0,51.0,62.0,51.0,63.0,52.0,63.0,52.0,62.0
27,50799.0,0.0,0.0,0.0,53.0,62.0,52.0,62.0,52.0,63.0,53.0,63.0,53.0,62.0
28,50799.0,0.0,0.0,0.0,54.0,62.0,53.0,62.0,53.0,63.0,54.0,63.0,54.0,62.0
29,50799.0,0.0,0.0,0.0,55.0,62.0,54.0,62.0,54.0,63.0,55.0,63.0,55.0,62.0
30,129429.53125,5.449393914883703,0.0,0.0,56.0,62.0,55.0,62.0,55.0,63.0,56.0,63.0,56.0,62.0
31,555913.9375,8.838294776518353,0.0,0.0,57.0,62.0,56.0,62.0,56.0,63.0,57.0,63.0,57.0,62.0
32,231559.328125,4.274795396994979,0.0,0.0,58.0,62.0,57.0,62.0,57.0,63.0,58.0,63.0,58.0,62.0
33,599828.8125,7.644149721467406,0.0,0.0,59.0,62.0,58.0,62.0,58.0,63.0,59.0,63.0,59.0,62.0
34,345038.65625,7.872107083653761,0.0,0.0,60.0,62.0,59.0,62.0,59.0,63.0,60.0,63.0,60.0,62.0
35,50799.0,0.0,0.0,0.0,61.0,62.0,60.0,62.0,60.0,63.0,61.0,63.0,61.0,62.0
36,50799.0,0.0,0.0,0.0,62.0,62.0,61.0,62.0,61.0,63.0,62.0,63.0,62.0,62.0
37,50799.0,0.0,0.0,0.0,63.0,62.0,62.0,62.0,62.0,63.0,63.0,63.0,63.0,62.0
38,50799.0,0.0,0.0,0.0,64.0,62.0,63.0,62.0,63.0,63.0,64.0,63.0,64.0,62.0
39,50799.0,0.0,0.0,0.0,65.0,62.0,64.0,62.0,64.0,63.0,65.0,63.0,65.0,62.0
40,50799.0,0.0,0.0,0.0,66.0,62.0,65.0,62.0,65.0,63.0,66.0,63.0,66.0,62.0
41,50799.0,0.0,0.0,0.0,67.0,62.0,66.0,62.0,66.0,63.0,67.0,63.0,67.0,62.0
42,29274.0,0.0,0.0,0.0,68.0,62.0,67.0,62.0,67.0,63.0,68.0,63.0,68.0,62.0
43,7560.0,0.0,0.0,0.0,-130.0,61.0,-131.0,61.0,-131.0,62.0,-130.0,62.0,-130.0,61.0
44,16470.0,0.0,0.0,0.0,-129.0,61.0,-130.0,61.0,-130.0,62.0,-129.0,62.0,-129.0,61.0
45,16470.0,0.0,0.0,0.0,-128.0,61.0,-129.0,61.0,-129.0,62.0,-128.0,62.0,-128.0,61.0
46,16470.0,0.0,0.0,0.0,-127.0,61.0,-128.0,61.0,-128.0,62.0,-127.0,62.0,-127.0,61.0
47,16470.0,0.0,0.0,0.0,-126.0,61.0,-127.0,61.0,-127.0,62.0,-126.0,62.0,-126.0,61.0
48,16470.0,0.0,0.0,0.0,-125.0,61.0,-126.0,61.0,-126.0,62.0,-125.0,62.0,-125.0,61.0
49,16470.0,0.0,0.0,0.0,-124.0,61.0,-125.0,61.0,-125.0,62.0,-124.0,62.0,-124.0,61.0
50,16470.0,0.0,0.0,0.0,-123.0,61.0,-124.0,61.0,-124.0,62.0,-123.0,62.0,-123.0,61.0
51,16470.0,0.0,0.0,0.0,-122.0,61.0,-123.0,61.0,-123.0,62.0,-122.0,62.0,-122.0,61.0
52,16380.0,0.0,0.0,0.0,-121.0,61.0,-122.0,61.0,-122.0,62.0,-121.0,62.0,-121.0,61.0
53,16470.0,0.0,0.0,0.0,-120.0,61.0,-121.0,61.0,-121.0,62.0,-120.0,62.0,-120.0,61.0
54,16470.0,0.0,0.0,0.0,-119.0,61.0,-120.0,61.0,-120.0,62.0,-119.0,62.0,-119.0,61.0
55,16470.0,0.0,0.0,0.0,-118.0,61.0,-119.0,61.0,-119.0,62.0,-118.0,62.0,-118.0,61.0
56,16470.0,0.0,0.0,0.0,-117.0,61.0,-118.0,61.0,-118.0,62.0,-117.0,62.0,-117.0,61.0
57,16470.0,0.0,0.0,0.0,-116.0,61.0,-117.0,61.0,-117.0,62.0,-116.0,62.0,-116.0,61.0
58,16470.0,0.0,0.0,0.0,-115.0,61.0,-116.0,61.0,-116.0,62.0,-115.0,62.0,-115.0,61.0
59,16470.0,0.0,0.0,0.0,-114.0,61.0,-115.0,61.0,-115.0,62.0,-114.0,62.0,-114.0,61.0
60,16470.0,0.0,0.0,0.0,-113.0,61.0,-114.0,61.0,-114.0,62.0,-113.0,62.0,-113.0,61.0
61,16470.0,0.0,0.0,0.0,-112.0,61.0,-113.0,61.0,-113.0,62.0,-112.0,62.0,-112.0,61.0
62,16470.0,0.0,0.0,0.0,-111.0,61.0,-112.0,61.0,-112.0,62.0,-111.0,62.0,-111.0,61.0
63,16470.0,0.0,0.0,0.0,-110.0,61.0,-111.0,61.0,-111.0,62.0,-110.0,62.0,-110.0,61.0
64,16470.0,0.0,0.0,0.0,-109.0,61.0,-110.0,61.0,-110.0,62.0,-109.0,62.0,-109.0,61.0
65,16470.0,0.0,0.0,0.0,-108.0,61.0,-109.0,61.0,-109.0,62.0,-108.0,62.0,-108.0,61.0
66,16470.0,0.0,0.0,0.0,-107.0,61.0,-108.0,61.0,-108.0,62.0,-107.0,62.0,-107.0,61.0
67,16470.0,0.0,0.0,0.0,-106.0,61.0,-107.0,61.0,-107.0,62.0,-106.0,62.0,-106.0,61.0
68,20770.3671875,-0.011744872408746386,0.0,0.0,-105.0,61.0,-106.0,61.0,-106.0,62.0,-105.0,62.0,-105.0,61.0
69,16470.0,0.0,0.0,0.0,-104.0,61.0,-105.0,61.0,-105.0,62.0,-104.0,62.0,-104.0,61.0
70,16470.0,0.0,0.0,0.0,-103.0,61.0,-104.0,61.0,-104.0,62.0,-103.0,62.0,-103.0,61.0
71,16470.0,0.0,0.0,0.0,-102.0,61.0,-103.0,61.0,-103.0,62.0,-102.0,62.0,-102.0,61.0
72,16380.0,0.0,0.0,0.0,-101.0,61.0,-102.0,61.0,-102.0,62.0,-101.0,62.0,-101.0,61.0
73,16470.0,0.0,0.0,0.0,-100.0,61.0,-101.0,61.0,-101.0,62.0,-100.0,62.0,-100.0,61.0
74,9900.0,0.0,0.0,0.0,-99.0,61.0,-100.0,61.0,-100.0,62.0,-99.0,62.0,-99.0,61.0
75,16450.0,0.0,0.0,0.0,26.0,61.0,25.0,61.0,25.0,62.0,26.0,62.0,26.0,61.0
76,61950.0,0.0,0.0,0.0,27.0,61.0,26.0,61.0,26.0,62.0,27.0,62.0,27.0,61.0
77,61950.0,0.0,0.0,0.0,28.0,61.0,27.0,61.0,27.0,62.0,28.0,62.0,28.0,61.0
78,61950.0,0.0,0.0,0.0,29.0,61.0,28.0,61.0,28.0,62.0,29.0,62.0,29.0,61.0
79,61950.0,0.0,0.0,0.0,30.0,61.0,29.0,61.0,29.0,62.0,30.0,62.0,30.0,61.0
80,61950.0,0.0,0.0,0.0,31.0,61.0,30.0,61.0,30.0,62.0,31.0,62.0,31.0,61.0
81,61950.0,0.0,0.0,0.0,32.0,61.0,31.0,61.0,31.0,62.0,32.0,62.0,32.0,61.0
82,61950.0,0.0,0.0,0.0,33.0,61.0,32.0,61.0,32.0,62.0,33.0,62.0,33.0,61.0
83,61950.0,0.0,0.0,0.0,34.0,61.0,33.0,61.0,33.0,62.0,34.0,62.0,34.0,61.0
84,61950.0,0.0,0.0,0.0,35.0,61.0,34.0,61.0,34.0,62.0,35.0,62.0,35.0,61.0
85,61950.0,0.0,0.0,0.0,36.0,61.0,35.0,61.0,35.0,62.0,36.0,62.0,36.0,61.0
86,81666.078125,1.2381403003733382,0.0,0.0,37.0,61.0,36.0,61.0,36.0,62.0,37.0,62.0,37.0,61.0
87,1186966.25,3.19675264566284,0.0,0.0,38.0,61.0,37.0,61.0,37.0,62.0,38.0,62.0,38.0,61.0
88,61950.0,0.0,0.0,0.0,39.0,61.0,38.0,61.0,38.0,62.0,39.0,62.0,39.0,61.0
89,61950.0,0.0,0.0,0.0,40.0,61.0,39.0,61.0,39.0,62.0,40.0,62.0,40.0,61.0
90,62300.0,0.0,0.0,0.0,41.0,61.0,40.0,61.0,40.0,62.0,41.0,62.0,41.0,61.0
91,61950.0,0.0,0.0,0.0,42.0,61.0,41.0,61.0,41.0,62.0,42.0,62.0,42.0,61.0
92,61950.0,0.0,0.0,0.0,43.0,61.0,42.0,61.0,42.0,62.0,43.0,62.0,43.0,61.0
93,61950.0,0.0,0.0,0.0,44.0,61.0,43.0,61.0,43.0,62.0,44.0,62.0,44.0,61.0
94,61950.0,0.0,0.0,0.0,45.0,61.0,44.0,61.0,44.0,62.0,45.0,62.0,45.0,61.0
95,61950.0,0.0,0.0,0.0,46.0,61.0,45.0,61.0,45.0,62.0,46.0,62.0,46.0,61.0
96,61950.0,0.0,0.0,0.0,47.0,61.0,46.0,61.0,46.0,62.0,47.0,62.0,47.0,61.0
97,61950.0,0.0,0.0,0.0,48.0,61.0,47.0,61.0,47.0,62.0,48.0,62.0,48.0,61.0
98,61950.0,0.0,0.0,0.0,49.0,61.0,48.0,61.0,48.0,62.0,49.0,62.0,49.0,61.0
99,61950.0,0.0,0.0,0.0,50.0,61.0,49.0,61.0,49.0,62.0,50.0,62.0,50.0,61.0
100,61950.0,0.0,0.0,0.0,51.0,61.0,50.0,61.0,50.0,62.0,51.0,62.0,51.0,61.0
101,61950.0,0.0,0.0,0.0,52.0,61.0,51.0,61.0,51.0,62.0,52.0,62.0,52.0,61.0
102,223141.296875,4.29725615979169,0.0,0.0,53.0,61.0,52.0,61.0,52.0,62.0,53.0,62.0,53.0,61.0
103,174289.46875,4.0016312660887605,0.0,0.0,54.0,61.0,53.0,61.0,53.0,62.0,54.0,62.0,54.0,61.0
104,526095.125,4.824472095231827,0.0,0.0,55.0,61.0,54.0,61.0,54.0,62.0,55.0,62.0,55.0,61.0
105,1995132.25,6.6385699494356825,0.0,0.0,56.0,61.0,55.0,61.0,55.0,62.0,56.0,62.0,56.0,61.0
106,3529794.0,6.32175702038136,0.0,0.0,57.0,61.0,56.0,61.0,56.0,62.0,57.0,62.0,57.0,61.0
107,3998055.25,4.6720027193221005,0.0,0.0,58.0,61.0,57.0,61.0,57.0,62.0,58.0,62.0,58.0,61.0
108,3883926.5,4.288147574368361,0.0,0.0,59.0,61.0,58.0,61.0,58.0,62.0,59.0,62.0,59.0,61.0
109,1912431.625,4.934104506873546,0.0,0.0,60.0,61.0,59.0,61.0,59.0,62.0,60.0,62.0,60.0,61.0
110,61950.0,0.0,0.0,0.0,61.0,61.0,60.0,61.0,60.0,62.0,61.0,62.0,61.0,61.0
111,61950.0,0.0,0.0,0.0,62.0,61.0,61.0,61.0,61.0,62.0,62.0,62.0,62.0,61.0
112,61950.0,0.0,0.0,0.0,63.0,61.0,62.0,61.0,62.0,62.0,63.0,62.0,63.0,61.0
113,61950.0,0.0,0.0,0.0,64.0,61.0,63.0,61.0,63.0,62.0,64.0,62.0,64.0,61.0
114,61950.0,0.0,0.0,0.0,65.0,61.0,64.0,61.0,64.0,62.0,65.0,62.0,65.0,61.0
115,61950.0,0.0,0.0,0.0,66.0,61.0,65.0,61.0,65.0,62.0,66.0,62.0,66.0,61.0
