,fid,long,lat,iso3,SSP1,SSP3,SSP5
0,8845,65.5,25.5,FIN8845.0,-0.5727053371316596,-0.32784942720526145,-7.906741846411449
1,9204,64.5,24.5,FIN9204.0,-0.40412681958602253,-0.4021146619910643,-6.470652450195049
2,9205,64.5,25.5,FIN9205.0,-4.6988261775241495,-4.1595976039423,-10.484064217825967
3,9206,64.5,26.5,FIN9206.0,-14.05615942767624,-13.845711480741981,-23.20480728338559
4,9207,64.5,27.5,FIN9207.0,-0.5290727030862525,-0.5045314830355476,-0.5744934310314429
5,9208,64.5,28.5,FIN9208.0,-0.005759848769030735,0.0,-2.8251877463675896
6,9561,63.5,21.5,FIN9561.0,-5.5155036046755885,-3.310435963013135,-19.836996671851136
7,9562,63.5,22.5,FIN9562.0,-11.063387749407454,-10.238394990638731,-25.243110760861516
8,9563,63.5,23.5,FIN9563.0,-10.402992251890755,-10.189874501505052,-24.309493260326466
9,9564,63.5,24.5,FIN9564.0,-7.45882095635039,-6.7147375044085145,-18.520695479607806
10,9565,63.5,25.5,FIN9565.0,-3.24815267942275,-2.749552004383584,-14.533218024152006
11,9566,63.5,26.5,FIN9566.0,-10.567462673862526,-10.228130397553624,-18.85057385138931
12,9567,63.5,27.5,FIN9567.0,-1.9689824217992151,-1.802915691333959,-4.971217790602781
13,9568,63.5,28.5,FIN9568.0,-4.04579137036296,-4.0622426060834975,-7.206909798683618
14,9569,63.5,29.5,FIN9569.0,-15.35041734930845,-14.698918057681729,-23.647269141966206
15,9570,63.5,30.5,FIN9570.0,-14.52128348832462,-14.331166518972982,-18.2090468489745
16,9921,62.5,21.5,FIN9921.0,0.0,0.0,0.0
17,9922,62.5,22.5,FIN9922.0,0.0,0.0,-0.9735345840454102
18,9923,62.5,23.5,FIN9923.0,-3.3698377961079413,-3.0390203579147195,-15.833343547017217
19,9924,62.5,24.5,FIN9924.0,-9.475565259250672,-9.322011149873475,-23.42030724110563
20,9925,62.5,25.5,FIN9925.0,-5.1849218269530795,-4.3481111308629785,-17.65182415852152
21,9926,62.5,26.5,FIN9926.0,-29.64790470085228,-29.613034416945812,-38.90393948588235
22,9927,62.5,27.5,FIN9927.0,-1.459734322089824,-1.40456676188551,-3.3279394781445606
23,9928,62.5,28.5,FIN9928.0,-0.6779747784448609,-0.5164608200668946,-5.13589725985932
24,9929,62.5,29.5,FIN9929.0,-0.021364290660055574,-0.01966953199429303,-0.4882375205263561
25,9930,62.5,30.5,FIN9930.0,-0.021809656658654766,-0.014857033786143233,-0.4066261059245433
26,9931,62.5,31.5,FIN9931.0,-4.975641786034795,-4.552836073073636,-11.98300381293797
27,10281,61.5,21.5,FIN10281.0,-2.2727428963683995,-2.0874042476255035,-3.9796350805109815
