,fid,long,lat,iso3,2015
0,8845,65.5,25.5,FIN8845.0,33.33332935969035
1,9204,64.5,24.5,FIN9204.0,85.90453863143921
2,9205,64.5,25.5,FIN9205.0,52.251152197519936
3,9206,64.5,26.5,FIN9206.0,89.66132799784342
4,9207,64.5,27.5,FIN9207.0,99.99999602635702
5,9208,64.5,28.5,FIN9208.0,32.976583639780685
6,9561,63.5,21.5,FIN9561.0,73.17838271458945
7,9562,63.5,22.5,FIN9562.0,60.081527630488075
8,9563,63.5,23.5,FIN9563.0,71.82073791821799
9,9564,63.5,24.5,FIN9564.0,58.92054041226705
10,9565,63.5,25.5,FIN9565.0,69.47290897369385
11,9566,63.5,26.5,FIN9566.0,98.6395537853241
12,9567,63.5,27.5,FIN9567.0,99.68998630841574
13,9568,63.5,28.5,FIN9568.0,99.45438305536905
14,9569,63.5,29.5,FIN9569.0,98.69832396507263
15,9570,63.5,30.5,FIN9570.0,99.99999602635702
16,9921,62.5,21.5,FIN9921.0,99.73669250806174
17,9922,62.5,22.5,FIN9922.0,33.33333333333333
18,9923,62.5,23.5,FIN9923.0,65.65234065055847
19,9924,62.5,24.5,FIN9924.0,59.80489651362101
20,9925,62.5,25.5,FIN9925.0,79.52122886975607
21,9926,62.5,26.5,FIN9926.0,97.69361615180969
22,9927,62.5,27.5,FIN9927.0,99.47511951128641
23,9928,62.5,28.5,FIN9928.0,99.89834626515707
24,9929,62.5,29.5,FIN9929.0,100.00000397364299
25,9930,62.5,30.5,FIN9930.0,99.9894360701243
26,9931,62.5,31.5,FIN9931.0,96.07712229092917
27,10281,61.5,21.5,FIN10281.0,100.00000397364299
28,10282,61.5,22.5,FIN10282.0,99.99999205271402
29,10283,61.5,23.5,FIN10283.0,0.0
30,10284,61.5,24.5,FIN10284.0,0.0
31,10285,61.5,25.5,FIN10285.0,99.54211314519247
32,10286,61.5,26.5,FIN10286.0,0.0
33,10287,61.5,27.5,FIN10287.0,99.99999403953552
34,10288,61.5,28.5,FIN10288.0,99.99999602635702
35,10289,61.5,29.5,FIN10289.0,0.0
36,10290,61.5,30.5,FIN10290.0,0.0
37,10641,60.5,21.5,FIN10641.0,98.79897038141885
38,10642,60.5,22.5,FIN10642.0,94.04908219973245
39,10643,60.5,23.5,FIN10643.0,100.00000397364299
40,10644,60.5,24.5,FIN10644.0,99.99999602635702
41,10645,60.5,25.5,FIN10645.0,99.9999980131785
42,10646,60.5,26.5,FIN10646.0,33.33333333333333
43,10647,60.5,27.5,FIN10647.0,100.00000397364299
44,10648,60.5,28.5,FIN10648.0,0.0
45,11003,59.5,23.5,FIN11003.0,33.2213540871938
46,11004,59.5,24.5,FIN11004.0,30.90360164642334
47,9582,63.5,42.5,RUS9582.0,60.88880697886149
48,9932,62.5,32.5,RUS9932.0,71.8324919541677
49,9933,62.5,33.5,RUS9933.0,82.79369274775186
50,9935,62.5,35.5,RUS9935.0,83.44677289326987
51,9936,62.5,36.5,RUS9936.0,88.52126399676004
52,9938,62.5,38.5,RUS9938.0,98.72905015945435
53,9939,62.5,39.5,RUS9939.0,99.99999602635702
54,9940,62.5,40.5,RUS9940.0,90.98449945449829
55,9941,62.5,41.5,RUS9941.0,100.0
56,9942,62.5,42.5,RUS9942.0,99.99906818072
57,9943,62.5,43.5,RUS9943.0,100.00000596046448
58,9944,62.5,44.5,RUS9944.0,99.99999602635702
59,9945,62.5,45.5,RUS9945.0,100.0
60,9950,62.5,50.5,RUS9950.0,100.00000794728597
61,10291,61.5,31.5,RUS10291.0,94.65974768002829
62,10292,61.5,32.5,RUS10292.0,100.00000397364299
63,10293,61.5,33.5,RUS10293.0,0.0
64,10294,61.5,34.5,RUS10294.0,100.00000794728597
65,10295,61.5,35.5,RUS10295.0,100.00000794728597
66,10296,61.5,36.5,RUS10296.0,100.00000397364299
67,10297,61.5,37.5,RUS10297.0,100.00000397364299
68,10298,61.5,38.5,RUS10298.0,100.00000794728597
69,10299,61.5,39.5,RUS10299.0,99.9999980131785
70,10300,61.5,40.5,RUS10300.0,99.9999980131785
71,10301,61.5,41.5,RUS10301.0,100.0
72,10302,61.5,42.5,RUS10302.0,99.99680916468301
73,10303,61.5,43.5,RUS10303.0,100.00000397364299
74,10304,61.5,44.5,RUS10304.0,99.99999205271402
75,10305,61.5,45.5,RUS10305.0,100.00000397364299
76,10306,61.5,46.5,RUS10306.0,100.00000397364299
77,10307,61.5,47.5,RUS10307.0,100.00000397364299
78,10308,61.5,48.5,RUS10308.0,0.0
79,10309,61.5,49.5,RUS10309.0,100.00000794728597
80,10310,61.5,50.5,RUS10310.0,99.99999602635702
81,10311,61.5,51.5,RUS10311.0,0.0
82,10312,61.5,52.5,RUS10312.0,100.0
83,10313,61.5,53.5,RUS10313.0,33.33333333333333
84,10314,61.5,54.5,RUS10314.0,93.42329303423563
