,2015,SSP1,SSP3,SSP5,lat1,long1,lat2,long2,lat3,long3,lat4,long4,lat5,long5
9955,57.209190368652344,-45.61798703558021,-21.34818416906903,-26.790049187019896,56.0,62.0,55.0,62.0,55.0,63.0,56.0,63.0,56.0,62.0
9956,382.32598876953125,-43.39754812757093,-21.597521339700055,-32.3077207975889,57.0,62.0,56.0,62.0,56.0,63.0,57.0,63.0,57.0,62.0
9957,285.05126953125,-40.25966323218308,-15.655073143366137,-33.28482981748417,58.0,62.0,57.0,62.0,57.0,63.0,58.0,63.0,58.0,62.0
9958,1346.1239013671875,-41.58744086459903,-16.679472592341636,-33.348466784741746,59.0,62.0,58.0,62.0,58.0,63.0,59.0,63.0,59.0,62.0
9959,797.4667358398438,-41.615891845018574,-16.667594031545967,-33.3677925284495,60.0,62.0,59.0,62.0,59.0,63.0,60.0,63.0,60.0,62.0
10296,81.85025787353516,-39.499586000622465,-18.429380598580742,-34.49242595059766,37.0,61.0,36.0,61.0,36.0,62.0,37.0,62.0,37.0,61.0
10297,4849.77392578125,-39.255811598015654,-18.397382207228773,-34.147441835692845,38.0,61.0,37.0,61.0,37.0,62.0,38.0,62.0,38.0,61.0
10312,1008.7700805664062,-37.96689906253681,-18.98345255649474,-33.55793420362641,53.0,61.0,52.0,61.0,52.0,62.0,53.0,62.0,53.0,61.0
10313,795.240234375,-37.223966507271044,-18.611987091164963,-34.858060531040394,54.0,61.0,53.0,61.0,53.0,62.0,54.0,62.0,54.0,61.0
10314,2485.95751953125,-36.36364395242732,-18.181809700228293,-36.36364395242732,55.0,61.0,54.0,61.0,54.0,62.0,55.0,62.0,55.0,61.0
10315,4662.134765625,-40.01495278827556,-16.93564299817387,-33.84945955468194,56.0,61.0,55.0,61.0,55.0,62.0,56.0,62.0,56.0,61.0
10316,7109.63232421875,-41.21129681638583,-16.332760483188554,-33.54715801151978,57.0,61.0,56.0,61.0,56.0,62.0,57.0,62.0,57.0,61.0
10317,8726.4462890625,-40.96363302062774,-15.777867901329483,-32.92050890113689,58.0,61.0,57.0,61.0,57.0,62.0,58.0,62.0,58.0,61.0
10318,9515.490234375,-41.658764255897715,-16.634615720132324,-33.35423880182211,59.0,61.0,58.0,61.0,58.0,62.0,59.0,62.0,59.0,61.0
10319,5309.2548828125,-41.208710762107074,-16.48279822398866,-33.552223168674544,60.0,61.0,59.0,61.0,59.0,62.0,60.0,62.0,60.0,61.0
10654,14052.6650390625,-40.37533472194338,-16.56120749449146,-34.5314212460673,35.0,60.0,34.0,60.0,34.0,61.0,35.0,61.0,35.0,60.0
10655,10800.552734375,-40.052312137526236,-15.872605261268639,-33.36217059203604,36.0,60.0,35.0,60.0,35.0,61.0,36.0,61.0,36.0,60.0
10656,17020.78125,-40.26283931407379,-16.15416127344331,-34.9013671247464,37.0,60.0,36.0,60.0,36.0,61.0,37.0,61.0,37.0,60.0
10657,14423.9384765625,-40.20979392642426,-16.65159230670747,-34.938872844100786,38.0,60.0,37.0,60.0,37.0,61.0,38.0,61.0,38.0,60.0
