,fid,long,lat,iso3,SSP1,SSP3,SSP5
0,8845,65.5,25.5,FIN8845.0,21.605415090583318,-1.454111088990643,37.77423850288672
1,9204,64.5,24.5,FIN9204.0,13.264275615315809,-11.79559684912139,31.576593473180022
2,9205,64.5,25.5,FIN9205.0,0.0,0.0,0.0
3,9206,64.5,26.5,FIN9206.0,7.785435583269519,-100.0,27.22167523611567
4,9207,64.5,27.5,FIN9207.0,10.368869425016886,-13.534653681068479,28.132557683508725
5,9208,64.5,28.5,FIN9208.0,7.904826341903473,-15.967523680649526,26.950834460983312
6,9561,63.5,21.5,FIN9561.0,16.610285217715155,-6.390242388504392,32.92573166568387
7,9562,63.5,22.5,FIN9562.0,0.0,0.0,0.0
8,9563,63.5,23.5,FIN9563.0,0.0,0.0,0.0
9,9564,63.5,24.5,FIN9564.0,0.0,0.0,0.0
10,9565,63.5,25.5,FIN9565.0,0.0,0.0,0.0
11,9566,63.5,26.5,FIN9566.0,100.0,0.0,100.0
12,9567,63.5,27.5,FIN9567.0,12.427555321390939,-9.859720758693362,28.30808746048472
13,9568,63.5,28.5,FIN9568.0,4.096887924605058,-19.04535900739033,21.084480303749405
14,9569,63.5,29.5,FIN9569.0,9.372877518677836,-14.554561919855106,26.564976228209193
15,9570,63.5,30.5,FIN9570.0,6.090419857281715,-17.744956259927456,24.34034280837344
16,9921,62.5,21.5,FIN9921.0,-40.71446352999751,-17.30146875777944,-36.10903659447349
17,9922,62.5,22.5,FIN9922.0,38.62411770553733,8.990290618683103,63.17725420021871
18,9923,62.5,23.5,FIN9923.0,0.0,0.0,0.0
19,9924,62.5,24.5,FIN9924.0,0.0,0.0,0.0
20,9925,62.5,25.5,FIN9925.0,7.542162684073288,-15.604673886020548,24.396829343031087
21,9926,62.5,26.5,FIN9926.0,6.799575500303214,-17.55392878801005,24.719526986052152
22,9927,62.5,27.5,FIN9927.0,14.652778459213613,-7.035688702666104,29.907073958139126
23,9928,62.5,28.5,FIN9928.0,5.1303238786398175,-17.672313136575113,21.859562772817906
24,9929,62.5,29.5,FIN9929.0,9.875197041707656,-12.585779811077003,26.069951287734227
25,9930,62.5,30.5,FIN9930.0,4.275676910773449,-17.466868502227808,19.923169199131728
26,9931,62.5,31.5,FIN9931.0,6.518557935346548,-14.816416123453505,22.380936543833975
27,10281,61.5,21.5,FIN10281.0,-9.892979499827026,-16.065350578624916,3.218426720530304
28,10282,61.5,22.5,FIN10282.0,-39.20621587568249,-16.855662886742266,-32.94834103317934
29,10283,61.5,23.5,FIN10283.0,-41.50632781150324,-17.14168124292623,-36.32060911616421
30,10284,61.5,24.5,FIN10284.0,-41.21626590190455,-18.255018751378778,-35.929112434737846
31,10285,61.5,25.5,FIN10285.0,153.9591710485617,179.15248994741725,159.23291060934116
32,10286,61.5,26.5,FIN10286.0,-42.57366802262129,-16.142474451830537,-36.00555610675662
33,10287,61.5,27.5,FIN10287.0,-40.68348250610252,-16.517493897477625,-35.00587650302866
34,10288,61.5,28.5,FIN10288.0,-40.59585706032846,-16.662540232730873,-34.794090946603944
35,10289,61.5,29.5,FIN10289.0,-38.71287128712871,-14.683168316831683,-32.66831683168317
36,10290,61.5,30.5,FIN10290.0,-39.87290969899666,-15.85953177257525,-33.812709030100336
37,10641,60.5,21.5,FIN10641.0,-40.8367707719505,-15.87507365939894,-34.27224513847967
38,10642,60.5,22.5,FIN10642.0,-40.02375296912114,-17.24249622111855,-34.700928525156556
39,10643,60.5,23.5,FIN10643.0,-38.10132651430398,-21.68770976506313,-35.56017260668052
40,10644,60.5,24.5,FIN10644.0,-38.37625788845301,-20.791403718232985,-35.10148388197169
41,10645,60.5,25.5,FIN10645.0,5.492790221704701,-1.6259059103394329,10.677329828158319
42,10646,60.5,26.5,FIN10646.0,23.07816929931146,4.973673552045362,49.02389631429729
43,10647,60.5,27.5,FIN10647.0,21.342307327708788,4.457294530287231,46.84045881126173
44,10648,60.5,28.5,FIN10648.0,33.662453208918784,3.173655943145446,59.194560480298016
45,11003,59.5,23.5,FIN11003.0,34.12368525680414,3.662606474620788,59.60169154588499
46,11004,59.5,24.5,FIN11004.0,37.78335484919338,9.487140135956162,61.012358830379796
47,9582,63.5,42.5,RUS9582.0,16.861140544611967,-6.748924436047031,33.68781197737805
48,9932,62.5,32.5,RUS9932.0,0.0,0.0,0.0
49,9933,62.5,33.5,RUS9933.0,16.587242917865723,-5.6079546954616255,32.15044750112205
50,9935,62.5,35.5,RUS9935.0,13.3707091852829,-9.452936059571947,29.617733933641134
51,9936,62.5,36.5,RUS9936.0,18.927755191491457,-3.855322536641218,34.84907440951397
52,9938,62.5,38.5,RUS9938.0,11.262711390524272,-11.704464663732296,27.83445036466613
53,9939,62.5,39.5,RUS9939.0,6.974425612474655,-16.049244418555155,24.123715959627642
54,9940,62.5,40.5,RUS9940.0,1.2070116230748889,-8.33008021558726,13.762576972963444
55,9941,62.5,41.5,RUS9941.0,-35.89594196987794,-16.42050475330401,-29.529719074392364
56,9942,62.5,42.5,RUS9942.0,4.361041363816572,29.69142328531783,9.181313598519889
57,9943,62.5,43.5,RUS9943.0,545.2517527087317,570.6288506479711,550.7966857871255
58,9944,62.5,44.5,RUS9944.0,66.90380451592948,90.7000721723889,71.70326837818332
59,9945,62.5,45.5,RUS9945.0,-39.14631671514577,-15.906784820401812,-33.96130690658188
60,9950,62.5,50.5,RUS9950.0,-35.07396119824575,-15.6656507842117,-29.82977774474095
61,10291,61.5,31.5,RUS10291.0,96.54237288135593,118.90018832391713,101.67231638418079
62,10292,61.5,32.5,RUS10292.0,11.370204285002492,32.45640259093174,16.492277030393623
63,10293,61.5,33.5,RUS10293.0,-39.54996796925048,-18.297565663036515,-34.43305573350416
64,10294,61.5,34.5,RUS10294.0,-40.3958881998131,-17.34771897035086,-34.88233794919718
65,10295,61.5,35.5,RUS10295.0,-40.13493915127057,-16.199003720285013,-35.41206885680055
66,10296,61.5,36.5,RUS10296.0,-39.01112991742319,-15.402369595322357,-34.830999640970404
67,10297,61.5,37.5,RUS10297.0,-38.71756699276904,-14.95462923578619,-34.8539628526868
68,10298,61.5,38.5,RUS10298.0,-37.47640237324703,-14.704692556634305,-33.424352750809064
69,10299,61.5,39.5,RUS10299.0,-38.639310072712924,-17.214362211825716,-35.52223662702215
70,10300,61.5,40.5,RUS10300.0,-38.36341603418585,-18.0113527648447,-35.67191785190382
71,10301,61.5,41.5,RUS10301.0,-39.30908241159059,-16.973048761489327,-33.299579373734225
72,10302,61.5,42.5,RUS10302.0,-13.996778235188831,-8.244703399809708,-8.62246003410172
73,10303,61.5,43.5,RUS10303.0,-5.687641907233214,-5.587090496269867,-0.4946480700616283
74,10304,61.5,44.5,RUS10304.0,-40.04873447571136,-15.367080647696904,-33.68967143530892
75,10305,61.5,45.5,RUS10305.0,-40.28612077141954,-14.748656338918748,-32.935504268099905
76,10306,61.5,46.5,RUS10306.0,-29.853069356244553,-12.420620097123646,-23.63964637031503
