,fid,lat,long,iso3,2015
0,8845,65.5,25.5,FIN8845.0,0.4121287378919645
1,9204,64.5,24.5,FIN9204.0,0.22748390474412605
2,9205,64.5,25.5,FIN9205.0,0.0
3,9206,64.5,26.5,FIN9206.0,0.09000044896843594
4,9207,64.5,27.5,FIN9207.0,0.15063087941889305
5,9208,64.5,28.5,FIN9208.0,0.058208363888129666
6,9561,63.5,21.5,FIN9561.0,0.42298865422630266
7,9562,63.5,22.5,FIN9562.0,0.0
8,9563,63.5,23.5,FIN9563.0,0.0
9,9564,63.5,24.5,FIN9564.0,0.0
10,9565,63.5,25.5,FIN9565.0,0.0
11,9566,63.5,26.5,FIN9566.0,0.0
12,9567,63.5,27.5,FIN9567.0,0.4983287084333338
13,9568,63.5,28.5,FIN9568.0,0.1936209199336997
14,9569,63.5,29.5,FIN9569.0,0.11597038488672474
15,9570,63.5,30.5,FIN9570.0,0.13843521634896241
16,9921,62.5,21.5,FIN9921.0,0.026367049812654135
17,9922,62.5,22.5,FIN9922.0,0.49519446240755777
18,9923,62.5,23.5,FIN9923.0,0.0
19,9924,62.5,24.5,FIN9924.0,0.0
20,9925,62.5,25.5,FIN9925.0,0.5676464155646592
21,9926,62.5,26.5,FIN9926.0,0.3030668219939922
22,9927,62.5,27.5,FIN9927.0,0.6689170224938438
23,9928,62.5,28.5,FIN9928.0,0.18270192880515845
24,9929,62.5,29.5,FIN9929.0,0.276906533961049
25,9930,62.5,30.5,FIN9930.0,0.22981407718213756
26,9931,62.5,31.5,FIN9931.0,0.19736232356656325
27,10281,61.5,21.5,FIN10281.0,0.294090735208131
28,10282,61.5,22.5,FIN10282.0,0.04688569499920052
29,10283,61.5,23.5,FIN10283.0,0.031897106936667356
30,10284,61.5,24.5,FIN10284.0,0.08926201404089709
31,10285,61.5,25.5,FIN10285.0,0.02122097885096112
32,10286,61.5,26.5,FIN10286.0,0.03307860282072953
33,10287,61.5,27.5,FIN10287.0,0.036301461037810234
34,10288,61.5,28.5,FIN10288.0,0.03976718229772593
35,10289,61.5,29.5,FIN10289.0,0.06629504682793298
36,10290,61.5,30.5,FIN10290.0,0.04906489851869297
37,10641,60.5,21.5,FIN10641.0,0.027847201600743134
38,10642,60.5,22.5,FIN10642.0,0.030397263550510655
